bathrooms,state,isFeatured,isPremierBuilder,isShowcaseListing,isPreforeclosureAuction,longitude,isNonOwnerOccupied,lotAreaUnit,lotAreaValue,homeStatus,daysOnZillow,latitude,country,bedrooms,livingArea,streetAddress,isZillowOwned,shouldHighlight,zpid,homeStatusForHDP,isUnmappable,listing_sub_type,city,price,homeType,currency,zipcode,priceForHDP,taxAssessedValue,rentZestimate,zestimate,priceChange,datePriceChanged,priceReduction,unit,open_house_info,openHouse,videoCount,newConstructionType,priceSuffix,group_type,providerListingID
1,RI,False,False,False,False,-71.54652,True,sqft,9583.0,FOR_SALE,-1,41.974533,USA,3,1282,131 Sayles Hill Rd,False,False,65833746,FOR_SALE,False,{'is_FSBA': True},North Smithfield,415000,SINGLE_FAMILY,USD,02896,415000,212700.0,2605.0,401700.0,-5000.0,1690268400000.0,"$5,000 (Jul 25)",,,,,,,,
2,RI,False,False,False,False,-71.354805,True,sqft,10019.0,FOR_SALE,-1,41.84769,USA,3,1918,59 Beech Tree Rd,False,False,65993301,FOR_SALE,False,{'is_FSBA': True},Rumford,525000,SINGLE_FAMILY,USD,02916,525000,337200.0,,,,,,,,,,,,,
2,RI,False,False,False,False,-71.546005,True,sqft,5663.0,FOR_SALE,-1,41.693996,USA,4,2130,36 Laurel Ave,False,False,65905104,FOR_SALE,False,"{'is_FSBA': True, 'is_openHouse': True}",Coventry,299900,SINGLE_FAMILY,USD,02816,299900,213900.0,2570.0,312700.0,,,,,"{'open_house_showing': [{'open_house_start': 1695083400000, 'open_house_end': 1695088800000}]}",Mon. 5:30-7pm,,,,,
1,RI,False,False,False,False,-71.73099,True,sqft,0.83,FOR_SALE,-1,41.423405,USA,3,1626,160 Alton Bradford Rd,False,False,66005203,FOR_SALE,False,{'is_FSBA': True},Bradford,325000,SINGLE_FAMILY,USD,02808,325000,198100.0,2570.0,328100.0,,,,,,,,,,,
1,RI,False,False,False,False,-71.40332,True,sqft,4000.0,FOR_SALE,-1,41.85368,USA,3,1000,78 Concord St,False,False,66008112,FOR_SALE,False,{'is_FSBA': True},Providence,325000,SINGLE_FAMILY,USD,02906,325000,149800.0,2250.0,340200.0,,,,,,,,,,,
1,RI,False,False,False,False,-71.584175,True,,,FOR_SALE,-1,41.691154,USA,2,896,21 Milton Ln,False,False,81851603,FOR_SALE,False,{'is_FSBA': True},Coventry,179900,MANUFACTURED,USD,02816,179900,53700.0,,,,,,,,,,,,,
2,RI,False,False,False,False,-71.60686,True,sqft,10000.0,FOR_SALE,-1,41.503212,USA,3,1227,10 Old Usquepaugh Rd,False,False,65869941,FOR_SALE,False,{'is_FSBA': True},South Kingstown,445000,SINGLE_FAMILY,USD,02892,445000,259800.0,2400.0,448900.0,,,,,,,,,,,
2,RI,False,False,False,False,-71.6735,True,acres,0.91999540863177,FOR_SALE,-1,41.376736,USA,2,1482,22 Woodcock Trl,False,False,65897210,FOR_SALE,False,{'is_FSBA': True},Charlestown,575000,SINGLE_FAMILY,USD,02813,575000,355600.0,,,,,,,,,,,,,
2,RI,False,False,False,False,-71.25315,True,acres,0.26285583103765,FOR_SALE,-1,41.608555,USA,3,1248,297 Turnpike Ave,False,False,66049991,FOR_SALE,False,{'is_FSBA': True},Portsmouth,450000,SINGLE_FAMILY,USD,02871,450000,264800.0,2949.0,445100.0,,,,,,,,,,,
1,RI,False,False,False,False,-71.28887,True,acres,0.25,FOR_SALE,-1,41.560394,USA,3,1108,44 Stage Coach Rd,False,False,66089826,FOR_SALE,False,{'is_FSBA': True},Portsmouth,449000,SINGLE_FAMILY,USD,02871,449000,288500.0,2949.0,470000.0,,,,,,,,,,,
1,RI,False,False,False,False,-71.37875,True,sqft,9846.0,FOR_SALE,-1,41.716854,USA,2,960,225 Ardway Ave,False,False,66003443,FOR_SALE,False,{'is_FSBA': True},Warwick,315000,SINGLE_FAMILY,USD,02889,315000,175600.0,,,,,,,,,,,,,
1,RI,False,False,False,False,-71.484764,True,sqft,3049.0,FOR_SALE,-1,41.795433,USA,2,850,16 Mill St,False,False,66011435,FOR_SALE,False,{'is_FSBA': True},Johnston,250000,SINGLE_FAMILY,USD,02919,250000,100800.0,1895.0,227900.0,,,,,,,,,,,
2,RI,False,False,False,False,-71.49493,True,sqft,10454.0,FOR_SALE,-1,41.439564,USA,3,1745,461 Woodruff Ave,False,False,66038552,FOR_SALE,False,{'is_FSBA': True},South Kingstown,575000,SINGLE_FAMILY,USD,02879,575000,296600.0,,,,,,,,,,,,,
3,RI,False,False,False,False,-71.447426,True,acres,0.27497704315886,FOR_SALE,-1,41.584873,USA,4,3580,409 Wickford Point Rd,False,False,66000950,FOR_SALE,False,"{'is_FSBA': True, 'is_openHouse': True}",North Kingstown,990000,SINGLE_FAMILY,USD,02852,990000,588900.0,,,,,,,"{'open_house_showing': [{'open_house_start': 1695160800000, 'open_house_end': 1695171600000}]}",Tue. 3-6pm,,,,,
2,RI,False,False,False,False,-71.356995,True,sqft,7464.0,FOR_SALE,-1,41.851517,USA,3,2460,31 Deer St,False,False,65994132,FOR_SALE,False,{'is_FSBA': True},Rumford,399000,SINGLE_FAMILY,USD,02916,399000,233400.0,,,,,,,,,,,,,
2,RI,False,False,False,False,-71.705826,True,acres,2.35,FOR_SALE,-1,41.63789,USA,3,1778,212 Stubble Brook Rd,False,False,66019711,FOR_SALE,False,{'is_FSBA': True},West Greenwich,489900,SINGLE_FAMILY,USD,02817,489900,296400.0,2729.0,512800.0,,,,,,,,,,,
2,RI,False,False,False,False,-71.43199,True,sqft,6058.0,FOR_SALE,-1,41.780605,USA,3,1276,16 Grace St,False,False,65848833,FOR_SALE,False,{'is_FSBA': True},Cranston,289900,SINGLE_FAMILY,USD,02910,289900,224500.0,,,,,,,,,,,,,
2,RI,False,False,False,False,-71.315704,True,sqft,5145.0,FOR_SALE,-1,41.727177,USA,3,1475,30 Clarke Rd,False,False,82694731,FOR_SALE,False,{'is_FSBA': True},Barrington,599000,SINGLE_FAMILY,USD,02806,599000,344000.0,2129.0,624500.0,,,,,,,,,,,
3,RI,False,False,False,False,-71.56718,True,acres,59.75,FOR_SALE,-1,41.577446,USA,2,1785,590 Ten Rod Rd,False,False,204001027,FOR_SALE,False,"{'is_FSBA': True, 'is_openHouse': True}",Exeter,795000,SINGLE_FAMILY,USD,02822,795000,407300.0,,,,,,,"{'open_house_showing': [{'open_house_start': 1695578400000, 'open_house_end': 1695585600000}]}",Sun. 11am-1pm,,,,,
3,RI,False,False,False,False,-71.544174,True,acres,1.8300045913682,FOR_SALE,-1,41.652866,USA,3,2342,3720 Division Rd,False,False,65882285,FOR_SALE,False,{'is_FSBA': True},East Greenwich,699900,SINGLE_FAMILY,USD,02818,699900,475600.0,,,,,,,,,,,,,
2,RI,False,False,False,False,-71.41094,True,acres,0.28999081726354,FOR_SALE,-1,41.697308,USA,2,1815,225 Custer St,False,False,66029710,FOR_SALE,False,{'is_FSBA': True},Warwick,450000,SINGLE_FAMILY,USD,02889,450000,266500.0,,,,,,,,,,,,,
2,RI,False,False,False,False,-71.24281,True,acres,1.65,FOR_SALE,-1,41.685417,USA,4,2482,49 Viking Dr,False,False,66015617,FOR_SALE,False,{'is_FSBA': True},Bristol,875000,SINGLE_FAMILY,USD,02809,875000,564700.0,,,,,,,,,,,,,
2,RI,False,False,False,False,-71.35837,True,acres,0.3,FOR_SALE,-1,41.85329,USA,3,1884,716 Roger Williams Ave,False,False,65820892,FOR_SALE,False,{'is_FSBA': True},Rumford,459000,SINGLE_FAMILY,USD,02916,459000,247900.0,,,,,,,,,,,,,
1,RI,False,False,False,False,-71.47021,True,acres,0.78999081726354,FOR_SALE,-1,41.70494,USA,3,1770,6 Gilbert St,False,False,65905146,FOR_SALE,False,{'is_FSBA': True},Warwick,349900,SINGLE_FAMILY,USD,02886,349900,260000.0,2670.0,368500.0,,,,,,,,,,,
3,RI,False,False,False,False,-71.27201,True,acres,0.5,FOR_SALE,-1,41.52015,USA,3,2156,45 Wyatt Rd,False,False,95062671,FOR_SALE,False,{'is_FSBA': True},Middletown,749900,SINGLE_FAMILY,USD,02842,749900,446400.0,3669.0,778600.0,,,,,,,,,,,
2,RI,False,False,False,False,-71.38794,True,acres,0.38999081726354,FOR_SALE,-1,41.68806,USA,3,2642,160 Gray St,False,False,65834639,FOR_SALE,False,{'is_FSBA': True},Warwick,599900,SINGLE_FAMILY,USD,02889,599900,341800.0,,,,,,,,,,,,,
2,RI,False,False,False,False,-71.77654,True,acres,0.48000459136823,FOR_SALE,-1,41.351288,USA,3,1793,196 Post Rd,False,False,79900116,FOR_SALE,False,{'is_FSBA': True},Westerly,475000,SINGLE_FAMILY,USD,02891,475000,292100.0,2700.0,487800.0,,,,,,,,,,,
1,RI,False,False,False,False,-71.56288,True,sqft,6359.0,FOR_SALE,-1,41.73256,USA,3,1431,40 Main St,False,False,65814698,FOR_SALE,False,{'is_FSBA': True},Scituate,299900,SINGLE_FAMILY,USD,02831,299900,144000.0,2182.0,299700.0,-20000.0,1694674800000.0,"$20,000 (Sep 14)",,,,,,,,
1,RI,False,False,False,False,-71.398544,True,sqft,6534.0,FOR_SALE,-1,41.789875,USA,4,1950,218 Indiana Ave,False,False,65863629,FOR_SALE,False,{'is_FSBA': True},Providence,250000,SINGLE_FAMILY,USD,02905,250000,163500.0,2729.0,264700.0,,,,,,,,,,,
2,RI,False,False,False,False,-71.49514,True,sqft,8000.0,FOR_SALE,-1,41.85869,USA,3,1580,18 Camille Dr,False,False,65967501,FOR_SALE,False,{'is_FSBA': True},Johnston,379900,SINGLE_FAMILY,USD,02919,379900,195000.0,2800.0,409500.0,,,,,,,,,,,
1,RI,False,False,False,False,-71.36084,True,sqft,5554.0,FOR_SALE,-1,41.77044,USA,2,900,30 Dorr Ave,False,False,65859755,FOR_SALE,False,{'is_FSBA': True},Riverside,274900,SINGLE_FAMILY,USD,02915,274900,110200.0,2529.0,286300.0,,,,,,,,,,,
1,RI,False,False,False,False,-71.27172,True,sqft,2614.0,FOR_SALE,-1,41.664623,USA,4,1358,93 High St,False,False,66014868,FOR_SALE,False,{'is_FSBA': True},Bristol,529000,SINGLE_FAMILY,USD,02809,529000,315600.0,,,,,,,,,,,,,
3,RI,False,False,False,False,-71.60018,True,acres,0.58000459136823,FOR_SALE,-1,41.36519,USA,4,2547,8 Green Hill Ocean Dr,False,False,65847969,FOR_SALE,False,{'is_FSBA': True},South Kingstown,4295000,SINGLE_FAMILY,USD,02879,4295000,1316300.0,10937.0,4314300.0,,,,,,,,,,,
2,RI,False,False,False,False,-71.278786,True,sqft,9365.0,FOR_SALE,-1,41.72133,USA,3,1817,4 Central Ct,False,False,65874166,FOR_SALE,False,{'is_FSBA': True},Warren,499000,SINGLE_FAMILY,USD,02885,499000,271500.0,,,,,,,,,,,,,
1,RI,False,False,False,False,-71.45569,True,sqft,6026.0,FOR_SALE,-1,41.793633,USA,3,1290,10 Homestead Ave,False,False,65895332,FOR_SALE,False,{'is_FSBA': True},Cranston,329000,SINGLE_FAMILY,USD,02920,329000,206400.0,2395.0,345500.0,,,,,,,,,,,
1,RI,False,False,False,False,-71.4719,True,sqft,7100.28,FOR_SALE,-1,41.851112,USA,3,1638,37 Simpson St,False,False,66104197,FOR_SALE,False,{'is_FSBA': True},North Providence,374900,SINGLE_FAMILY,USD,02911,374900,210900.0,2468.0,396300.0,,,,,,,,,,,
2,RI,False,False,False,False,-71.13995,True,sqft,6420.0,FOR_SALE,-1,41.656406,USA,3,1512,136 Lark Ln,False,False,97558618,FOR_SALE,False,{'is_FSBA': True},Tiverton,295000,SINGLE_FAMILY,USD,02878,295000,162600.0,3351.0,292800.0,,,,,,,,,,,
2,RI,False,False,False,False,-71.508446,True,acres,0.81182277318641,FOR_SALE,-1,41.781914,USA,2,1234,945 Scituate Ave,False,False,65839652,FOR_SALE,False,{'is_FSBA': True},Cranston,399900,SINGLE_FAMILY,USD,02921,399900,245500.0,,,,,,,,,,,,,
2,RI,False,False,False,False,-71.42789,True,acres,0.28999081726354,FOR_SALE,-1,41.87672,USA,4,1547,1 Amanda Ct,False,False,66102505,FOR_SALE,False,{'is_FSBA': True},North Providence,374900,SINGLE_FAMILY,USD,02904,374900,251200.0,3569.0,394600.0,,,,,,,,,,,
2,RI,False,False,False,False,-71.31581,True,sqft,2292.0,FOR_SALE,-1,41.47588,USA,2,1088,39 Simmons St,False,False,66024279,FOR_SALE,False,"{'is_FSBA': True, 'is_openHouse': True}",Newport,650000,SINGLE_FAMILY,USD,02840,650000,477500.0,3200.0,663100.0,,,,,"{'open_house_showing': [{'open_house_start': 1695254400000, 'open_house_end': 1695259800000}]}",Wed. 5-6:30pm,,,,,
3,RI,False,False,False,False,-71.44563,True,sqft,10454.0,FOR_SALE,-1,41.589355,USA,3,3238,140 Wickford Point Rd,False,False,66022536,FOR_SALE,False,{'is_FSBA': True},North Kingstown,1100000,SINGLE_FAMILY,USD,02852,1100000,526100.0,3499.0,1140800.0,,,,,,,,,,,
3,RI,False,False,False,False,-71.41625,True,sqft,3192.0,FOR_SALE,-1,41.806423,USA,9,2355,20 Saint James St,False,False,65951325,FOR_SALE,False,{'is_FSBA': True},Providence,500000,MULTI_FAMILY,USD,02907,500000,164800.0,2629.0,514900.0,,,,,,,,,,,
2,RI,False,False,False,False,-71.68687,True,acres,0.65,FOR_SALE,-1,41.530968,USA,3,1975,63 K G Ranch Rd,False,False,66038073,FOR_SALE,False,{'is_FSBA': True},Richmond,395000,SINGLE_FAMILY,USD,02832,395000,234300.0,2889.0,404200.0,,,,,,,,,,,
1,RI,False,False,False,False,-71.58075,True,sqft,5000.0,FOR_SALE,-1,41.687447,USA,2,868,10 Kelly Ln,False,False,81846274,FOR_SALE,False,{'is_FSBA': True},Coventry,139900,MANUFACTURED,USD,02816,139900,59100.0,1569.0,142500.0,,,,,,,,,,,
3,RI,False,False,False,False,-71.52028,True,acres,0.95,FOR_SALE,-1,41.39751,USA,4,2486,23 Egret Ln,False,False,65856146,FOR_SALE,False,{'is_FSBA': True},South Kingstown,850000,SINGLE_FAMILY,USD,02879,850000,506700.0,,,,,,,,,,,,,
3,RI,False,False,False,False,-71.55974,True,acres,0.46000918273646,FOR_SALE,-1,41.859802,USA,3,1918,17 Quaker Rd,False,False,65805539,FOR_SALE,False,{'is_FSBA': True},Johnston,579000,SINGLE_FAMILY,USD,02919,579000,241800.0,2969.0,608700.0,,,,,,,,,,,
2,RI,False,False,False,False,-71.47487,True,sqft,10019.0,FOR_SALE,-1,41.799255,USA,3,2025,100 Walnut St,False,False,65972133,FOR_SALE,False,{'is_FSBA': True},Johnston,389900,SINGLE_FAMILY,USD,02919,389900,223600.0,2570.0,414800.0,,,,,,,,,,,
2,RI,False,False,False,False,-71.81506,True,sqft,9147.6,FOR_SALE,-1,41.382843,USA,5,1408,139 Tower St,False,False,66017108,FOR_SALE,False,{'is_FSBA': True},Westerly,330000,MULTI_FAMILY,USD,02891,330000,211800.0,2050.0,308600.0,-20000.0,1694156400000.0,"$20,000 (Sep 8)",,,,,,,,
